street_name,url,average_epc
Copse Hill,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Copse+Hill&town=London,C
Fairhazel Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Fairhazel+Gardens&town=London,D
Green Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Green+Street&town=London,D
Kings Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Kings+Road&town=London,D
Ladbroke Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ladbroke+Road&town=London,D
Lancaster Gate,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Lancaster+Gate&town=London,C
Old Queen Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Old+Queen+Street&town=London,C
Philbeach Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Philbeach+Gardens&town=London,D
Queen Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Queen+Street&town=London,C
Queen Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Queen+Street&town=London,C
Wilton Crescent,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Wilton+Crescent&town=London,D
